Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Jawan,2023,Not Rated,07 Sep 2023,169 min,"Action, Drama, Musical",Atlee,"Sumit Arora, Atlee, Ramanagirivasan","Shah Rukh Khan, Nayanthara, Vijay Sethupathi",A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion.,Hindi,India,17 wins & 41 nominations,https://m.media-amazon.com/images/M/MV5BOWI5NmU3NTUtOTZiMS00YzA1LThlYTktNDJjYTU5NDFiMDUxXkEyXkFqcGdeQXVyMTUzNjEwNjM2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"93,441",tt15354916,movie,N/A,"$15,198,530",N/A,N/A,True
Jaane Jaan,2023,TV-MA,21 Sep 2023,139 min,"Crime, Drama, Mystery",Sujoy Ghosh,"Sujoy Ghosh, Keigo Higashino, Raj Vasant","Kareena Kapoor, Jaideep Ahlawat, Vijay Varma",A single mother and her daughter commit a crime and a neighbor helps them cover it up amid the police investigation.,Hindi,India,2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMTNmMmY5NzAtNTdjOC00Y2JiLThjZDQtNDEzODQ5MWQ4NWFhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"13,510",tt15748830,movie,N/A,N/A,N/A,N/A,True
Jailer,2023,Not Rated,10 Aug 2023,168 min,"Action, Comedy, Crime",Nelson Dilipkumar,Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",Tamil,India,4 nominations,https://m.media-amazon.com/images/M/MV5BNzFkNmZkMTctYjRhMS00ODZiLWFlNjQtZmZmN2IzMDJlNmVkXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"34,165",tt11663228,movie,N/A,N/A,N/A,N/A,True
Rocky Aur Rani Kii Prem Kahaani,2023,Not Rated,28 Jul 2023,168 min,"Comedy, Drama, Family",Karan Johar,"Shashank Khaitan, Ishita Moitra, Sumit Roy","Ranveer Singh, Alia Bhatt, Dharmendra","A sensual love story between a boy who belongs to rich, upper class family, the heir to Dhanlaxmi Enterprises, lives in a lavish mansion in Gurgaon called House Gurgaon and a middle class girl who lives in a lousy fort. They fall in love with each other but their parents are unhappy of this union.","Hindi, English",India,8 wins & 40 nominations,https://m.media-amazon.com/images/M/MV5BNzAyOWQ4MjUtMGNkMi00ODBkLWEyZDgtY2Q0YjJhYjg3MzNlXkEyXkFqcGdeQXVyMTUxMTM3OTc1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"41,484",tt14993250,movie,N/A,N/A,N/A,N/A,True
OMG 2,2023,N/A,11 Aug 2023,156 min,"Comedy, Drama",Amit Rai,Amit Rai,"Akshay Kumar, Pankaj Tripathi, Yami Gautam",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,"Hindi, Rajasthani",India,3 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BNmQ3MThkOWEtNTA0NC00YzI2LWIxZjEtZjdlZTVmNzQ2ZGViXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"39,214",tt15732324,movie,N/A,N/A,N/A,N/A,True
Sukhee,2023,N/A,22 Sep 2023,139 min,Drama,Sonal Joshi,"Radhika Anand, Paulomi Dutta, Rupinder Inderjit","Shilpa Shetty Kundra, Kusha Kapila, Amit Sadh","Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.","Hindi, English",India,N/A,https://m.media-amazon.com/images/M/MV5BMzk4MDMwNzUtYzk0Yy00NGJiLWIxMTQtYjZhOGU5ZmNjYWEyXkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"7,853",tt18266472,movie,N/A,N/A,N/A,N/A,True
The Great Indian Family,2023,N/A,22 Sep 2023,112 min,Family,Vijay Krishna Acharya,Vijay Krishna Acharya,"Vicky Kaushal, Manushi Chhillar, Kumud Mishra","Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BYTk3MGEyOWEtMjFjZC00YzZhLWI5ZWQtMjE3NmE1ZGI3M2E3XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,"6,765",tt18561736,movie,N/A,N/A,N/A,N/A,True
The BFG,2016,PG,01 Jul 2016,117 min,"Adventure, Family, Fantasy",Steven Spielberg,"Melissa Mathison, Roald Dahl","Mark Rylance, Ruby Barnhill, Penelope Wilton","Ten-year-old Sophie is in for the adventure of a lifetime when she meets the Big Friendly Giant. Naturally scared at first, the young girl soon realizes that the twenty-four-foot behemoth is actually quite gentle and charming. As their friendship grows, Sophie's presence attracts the unwanted attention of Bloodbottler, Fleshlumpeater, and other giants. After travelling to London, Sophie and the BFG must convince Queen Elizabeth to help them get rid of all of the bad giants once and for all.","English, Hindi","United Kingdom, India, United States",Nominated for 1 BAFTA Award4 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.3,"93,231",tt3691740,movie,29 Nov 2016,"$55,483,770",N/A,N/A,True
Pathaan,2023,Not Rated,25 Jan 2023,146 min,"Action, Adventure, Thriller",Siddharth Anand,"Shridhar Raghavan, Abbas Tyrewala, Siddharth Anand","Shah Rukh Khan, Deepika Padukone, John Abraham","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.","Hindi, English, Russian",India,10 wins & 44 nominations,https://m.media-amazon.com/images/M/MV5BYTgzNjBjYTctOGJiZi00MTliLTk0YzYtNDJmYTQyMDdkMjQ5XkEyXkFqcGdeQXVyNTkzNDQ4ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,5.8,"156,159",tt12844910,movie,N/A,"$17,487,476",N/A,N/A,True
Mastaney,2023,N/A,25 Aug 2023,150 min,"Action, Drama, History",Sharan Art,"Sharan Art, Jassi The Poet, Harnav Bir Singh","Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.","Punjabi, Hindi, Tamil, Marathi, Telugu",India,N/A,https://m.media-amazon.com/images/M/MV5BYTZjMWEwM2EtZmZhYi00MGZlLWI4MWEtYjkxODBmZDJmNzEyXkEyXkFqcGdeQXVyODQwMDcwNDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"5,339",tt15464390,movie,N/A,N/A,N/A,N/A,True
